case,latency_ms
fake_1,77.12006568908691
fake_1,57.06501007080078
fake_1,56.93197250366211
fake_1,61.73205375671387
fake_1,65.2611255645752
fake_1,57.16395378112793
fake_1,56.864023208618164
fake_1,56.93507194519043
fake_1,60.01996994018555
fake_1,61.2490177154541
fake_1,60.61887741088867
fake_1,62.123775482177734
fake_1,63.28082084655762
fake_1,68.69792938232422
fake_1,60.999393463134766
fake_1,57.43002891540527
fake_1,65.45901298522949
fake_1,62.690019607543945
fake_1,65.01507759094238
fake_1,65.58012962341309
fake_1,70.29604911804199
fake_1,61.914920806884766
fake_1,64.35585021972656
fake_1,64.06307220458984
fake_1,61.04683876037598
fake_1,69.74267959594727
fake_1,66.29610061645508
fake_1,68.21084022521973
fake_1,66.30301475524902
fake_1,62.77203559875488
fake_1,60.881853103637695
fake_1,65.08088111877441
fake_1,68.62282752990723
fake_1,64.23234939575195
fake_1,60.13178825378418
fake_1,57.84296989440918
fake_1,82.41605758666992
fake_1,59.05508995056152
fake_1,59.24201011657715
fake_1,62.69478797912598
fake_1,68.33100318908691
fake_1,61.80691719055176
fake_1,58.72988700866699
fake_1,62.86907196044922
fake_1,62.851667404174805
fake_1,61.511993408203125
fake_1,62.719106674194336
fake_1,68.98307800292969
fake_1,61.98692321777344
fake_1,61.96308135986328
fake_1,62.91031837463379
fake_1,60.08505821228027
fake_1,65.90414047241211
fake_1,62.09421157836914
fake_1,63.82489204406738
fake_1,63.76385688781738
fake_1,64.27192687988281
fake_1,58.799028396606445
fake_1,60.12606620788574
fake_1,61.29884719848633
fake_1,59.422969818115234
fake_1,61.734914779663086
fake_1,65.94371795654297
fake_1,59.178829193115234
fake_1,61.746835708618164
fake_1,63.50302696228027
fake_1,67.35515594482422
fake_1,61.640024185180664
fake_1,67.67392158508301
fake_1,66.12801551818848
fake_1,58.86697769165039
fake_1,68.37320327758789
fake_1,61.1119270324707
fake_1,60.73880195617676
fake_1,56.06889724731445
fake_1,59.432029724121094
fake_1,62.14714050292969
fake_1,64.83602523803711
fake_1,60.27507781982422
fake_1,56.57196044921875
fake_1,65.48619270324707
fake_1,63.92502784729004
fake_1,68.49098205566406
fake_1,61.738014221191406
fake_1,61.85722351074219
fake_1,60.540199279785156
fake_1,57.290077209472656
fake_1,61.20800971984863
fake_1,64.79001045227051
fake_1,59.628963470458984
fake_1,62.345027923583984
fake_1,60.774803161621094
fake_1,62.074899673461914
fake_1,61.71226501464844
fake_1,63.07411193847656
fake_1,63.200950622558594
fake_1,61.60402297973633
fake_1,60.57310104370117
fake_1,61.666011810302734
fake_1,64.75186347961426
fake_2,66.68305397033691
